user.screen_name,full_text,id
foumiedye,i genuinely do not kno what Grift/er/ing means . im gonna google it rn but i guess i gotta have my SJW card revoked 😔,1382517910808137728
MpumzN,Mkr. Our celebrities are the absolute ghetto. https://t.co/PFGotK1fat,1382517874506489856
joe_boner06,@GMDPaaaaige folow me back nigger ☹️,1382517856521256960
IronTravisc,"There's a illegal immigrant in South Dakota, her name is Kristi Noem https://t.co/MpH2UCkEGS",1382517825819045892
Sue93089101,@tomselliott Sick of the race card!!!!!!,1382517815194779651
SHOUTmyBook,"New and trending - The East Side of Addiction tells the story of how drug addiction ravaged a working class immigrant enclave in Worcester, Massachusetts. @JackMaroneyjr https://t.co/f9piPYuA3a https://t.co/TcoW1rsRSy",1382517805040373761
MatiHollins7,"@StmCh_ Men have been receiving mixed messages “on being a MAN” for decades because of the ignorant, confusing, &amp; belittling treatment given to them by their female counterparts whom are from the feminism, feminazi, socialist, identity/gender confused camps. DECADES",1382517759364325378
KrisSheldon3,"@govkristinoem Unless you’re an immigrant or a refuge, then she hates you because she’s a soulless ghoul.",1382517756675944449
KingOfTheCruel,"@androcon2000 Right about what? When he can’t make his point, he either places the race card for his argument and/or attacks the person he’s debating.",1382517745653317633
shizukulver,@DevEternalSosa @henrique_melo22 @LilNasX For what? Being black and saying nigger?,1382517678645067778
fahadnazir,"@govkristinoem This statement is from a person whose ancestors were norwegian immigrant (most definitely illegal back then) living in a state that actually belongs to Native American Tribes, Ironic.",1382517678506663940
7j468876402,“somewhat of a NIGGER myself” https://t.co/a863D4UqAt,1382517591231623168
mnvrse,here we go with the victim card #tyongftable,1382517379402498050
KathrynHenley7,I don't believe for one second that Biden had a high approval rating. Not with what is going on at our southern border. Not with the way he plays the race card daily.  Who and where are they pulling?  I say rubbish on high approval ratings.,1382517374528675840
susanabenavidez,Feeling so angry w/ the continued anti-Blackness and anti-immigrant sentiment and outright hate in this country. Have to release some shade we all agree w/ before I implode. https://t.co/qh2WERs79P,1382517314298523652
Dems4Congress18,"'CALL ME WHEN YOU'RE AN AMERICAN' !!
THIS ONE SMUG REMARK SAYS EVERYTHING !!
THERE MUST BE A ROAD TO 'CITIZEN' FOR
EVERY IMMIGRANT THAT ENTERS THIS
COULD !!
OTHERWISE, NOTHING WILL WORK !!
VOTE SMARTER IN 2022 !!
YOUR VOTE WILL CHANGE THE COURSE !!
BE WELL !! https://t.co/d6eEVigHR9",1382517265560711170
noneejudi,"@Amy_Siskind @Gdad1 My sister tried to run that crap by me the other day, talking about how too many of a certain type of immigrant isn't good for  the country.",1382517223714082817
Tionia,@ElleWibble She would spit in the face of Jesus because he was a POC and an immigrant!,1382517144089337856
shelbyisdead,"@vjetairlines @murphyjb82 @Lovinemachine @cnnbrk Go pretend to be a Vietnamese immigrant somewhere else, racist transphobe 🤣",1382517123998572547
johnjoh07426424,"@holyforbizzle @Dina921 That artist in particular, has to keep the victim card &amp; pure version of the actual fake persona",1382517053123301378
SpaceLabX1,"I've had heat with wrestlers before, most of it was ill-gotten. There was only one person I had ill will for because they caused my match not to get recorded because I was black. ""I'm not gonna record that nigger's match"" I believe was the quote.",1382517037574987776
QPLNYC,"QPL's celebration of immigrant heritage continues with this lecture in Chinese about the historical impact of Cantonese pop songs with Professor Jingbo You! Join us on Thursday, April 15 at 8PM. https://t.co/9JTf9WrA3f https://t.co/GBGN99O4GR",1382516966448107520
Zeroized,"Stuff it.
You revealed your true colors when you sold yourself and your morals.
You have no right to say anything about anything #GamerGate related, just like Mister Metokur, or Ralph, or Milo, or any other of the sold-out lolcows. https://t.co/ilLHLOiD8e https://t.co/4MhtObB399",1382516933313069061
sonyahmt,"Like the graffiti vandalism on these business stores, where some of them may be owned by immigrants, please tell me how this is a form of art in vandalizing a small businesses, that may be owned by an immigrant. 

These new Seattleites need to get their heads out of their asses.",1382516910181425158
THAKUR__9,@immigrant_and @POTUS @IndiainNewYork he can't even call Indian festivals as Indian..🤣,1382516802769408003
jastity1,@AEnglaland How will you move to Canada outside their rules? You’re seeking refugee status? You’re doing the illegal immigrant thing?,1382516765687570435
ryanpost,"My #LedZeppelin Top 10 Songs:

1. Stairway to Heaven
2. Ten Years Gone
3. Kashmir
4. Whole Lotta Love
5. When the Levee Breaks
6. What Is &amp; What Should Never Be
7. Immigrant Song
8. Babe I’m Gonna Leave You
9. The Battle of Evermore
10. The Rain Song",1382516729763360773
BigBalIerCam,@TreNoYxmi don't tell me what to do nigger,1382516725791531014
SilentAssasin87,@KiaChantel @JustHonestJohn That’s why he don’t like talking on the phone cuz the nigger can’t hear 🤣🤣🤣 https://t.co/uSBNDTpZ2C,1382516710826205185
2gaucho,@Danish_Shaikh7 @AskAnshul Which Muslim was against tablighi jamat at that time ? All Muslims were playing victim card at that time too and siding with religious leader Saad.. now you are saying it just to equalize it with what Hindus are doing. Don’t forget Hindus skipped to many fests last year.,1382516700399157248
WoCFreelancer,"There's a lot of things that I will put up with, but using the race card because you can't prove your claim isn't among those things. Needless to say, he's not able to post on the FB page anymore, at my courtesy. On another note, I think I need a vacation.",1382516678295220229
FreeAdvocate,"Today has been a tough day. I cannot put into words how upset and distraught I am after reading this article.  Children are being indoctrinated in radical SJW nonsense, identity politics and tribalism. White kids are being shamed and blamed for their existence. Do parents",1382516624083783680
ProblemChildOg,@PUNKesports Neither Bc I was poor immigrant child 🤠,1382516538670911488
LondiF,"@govkristinoem SD is home to 9 American Indian tribes:
Cheyenne River Sioux Tribe
Crow Creek Sioux Tribe
Flandreau Santee Sioux Tribe
Lower Brule Sioux Tribe
Oglala Sioux Tribe
Rosebud Sioux Tribe
Sisseton Wahpeton Oyate
Standing Rock Sioux Tribe

call us when you are not also an immigrant",1382516511131197440
beysuswepttt,Did you just call her a nigger?????? https://t.co/pmhGd73wRa,1382516503946407941
lisaminshall58,"@TrinityResists @govkristinoem Like someone said if Biden was relocating them there, it wouldnt be illegal and those seeking asylum are not illegal immigrants. Every American was an immigrant at some point. Her tweet was offensive and grotesque.",1382516456617824257
JoeGrav77049018,"@NicXTempore @JackPosobiec This is what Democrats  won't ,I treat blacks like I do  whites,if either are thugs I have no time for,thugs are thugs no matter the race,we all bleed red as GOD has put in every living creature  except for some bug's  even fish bleed red,it's   sad the race card Democrats play ! https://t.co/JyvamORYCx",1382516387709603840
FACESHOPPlNGS,i love love love pulling the race card on white people for no reason just to see them panic before i tell them it’s a joke😂🤷🏽‍♂️,1382516373545394176
ihave42ofthem,"@govkristinoem Kristi, are you under the impression that the two options are illegal immigrant and American?",1382516292784033797
orikkunn,"@clodagh_clawe @Y_I__Jared @VaushV You’re right that there’s no debate, but they think there is, so tough shit. This is about optics, and providing a counter narrative to right wing propaganda. The entire anti sjw community getting their asses handed to them by destiny was the beginning of the end for that crowd",1382516222680576000
bravomama4,Jennifer’s family is a great representation of immigrant family trauma. And so relatable for many first generation children. I love them on the show. #RHONJ @JenniferAydin @BravoWWHL @Andy,1382516205425152000
Melannnial,@MayorAdler Do what now? Defund Cadet classes? Instead offer cash to over-policed neighborhoods and fund immigrant defense? Imagine living in an imaginary world where reimagining public safety looks like this crap. https://t.co/vfTe6lX3Tw,1382516188509470726
estela_g6,@ILive4nCauseofU It’s so sad. Immigrant issues hit so close to home for me. I hate the misconceptions of undocumented ppl. And it’s super ridiculous when you’re an immigrant yourself hating on immigrants.,1382516174571806720
TheRealMoleman,"@TomiLahren Don’t worry Tammy, literally no immigrant, illegal or otherwise, wants to go to SD. Hell, Americans born here don’t want to go there. 🙄",1382516156876140547
FitUnicorns,"@o_jeanette @drmwarner @ONgov @JustinTrudeau Nothing to do with privilege, sweetheart. The world needs to start saying “good life choices” and “hard work” instead of playin the victim card. Clearly you drank the kool-aid.",1382516081080827906
cravingblades,i love love love pulling the race card on white people for no reason just to see them panic before i tell them it’s a joke😂🤷🏽‍♂️,1382516016387743744
noahtrades69,DeFi appears to be breaking out. Added to my $AAVE $GRT $MKR $AVAX and $BAND positions. https://t.co/10rtoLn6Wx,1382515987719815171
Nabro51695965,"@billmckibben @govkristinoem Bashing Christians.... hmmm...

Why dont you nasty spirited posters on here show us Christians how it's really done?? By all means leave your windows open and doors unlocked and allow every illegal immigrant to come into your house and stay as long as they like! PLEASE show us!",1382515945374027778
EmpressCortana,"I really f'n hate talking about Halo if I'm not working on it.. FILTHY BRITISH RAJ ASS PRECURSOR SPY tried to ruin my career!
I reported @franklez to @Microsoft but they did absolutely nothing about it; Their SJW Agendas are LIES! #GameDev #HaloSpotlight 
#VictimBlaming #PTSD https://t.co/RqfXQupE0V",1382515904026664962
akramjumaF1,They forget Jesus was an immigrant..,1382515884401561605
ms_dingo,"so now people are making out the whole magda/morrison thing is all about religion.
christians waving the victim card around in the air yet again. they can be as bad as the ones who cry racist every time 🙄
get a damn life",1382515863501230080
CaitlinZornes,When someone calls you a racist and a white supremacist for calling Kristi Noem a racist (when she echoes the governor of Wyoming during WWII with the Japanese) by saying she doesn't want non-white immigrant children going to South Dakota. https://t.co/Qjfk1pfT51,1382515781511090184
weStupidsad,"How you tell me she’s out here saying nigger with the hard er but you still hang with her 

She threw you under the bus treated you horribly but y’all going on trips 

SMH why even tell me 

Let me distance myself alil child that’s a shame",1382515747767910401
FreedomfrmG,@POTUS @JoeBiden want a Racist@the GOV that she refuses Immigrant to state. You should remind she that her family was once a immigrant . And ask what she would do if you pull her citizenship for being un-American https://t.co/7UmFbssNyq,1382515729505816581
SocialismIsDone,@That1Teacher15 @thecuttman @PridefulDad @IlhanMN Well we have that in common. My wife and daughter are brown. My wife is an immigrant... she wants to leave now...before any chance of socialists being more powerful.,1382515650225065984
Phillip59062680,@Dev__wash @gibs626 @SluderJohn @JPFinlayNBCS This dude Jason Wright has done nothing but lie to the fans about everything.  Stop playing the race card and taking up for him cause he is black!,1382515625499627520
RealSeamus_,"@19148_4533 @Mr_Zero_Kewl @GOP Hey there, I’m an immigrant from Guatemala, stop talking on our behalf , white night. We’re sick of it.",1382515613382369285
TrennerMargaret,"The most accurate indicator of 90% hit on BTC signals, we can do a lot 👉 https://t.co/RSixb3OPu6

$FTT #bitcoin
$ADX $OAX $BTC $MKR $ARDR $JST $IOTX $MTL #zilliqa $HOT $KCS $YFI $LEND $AION $IOST #ethereum $SRM $WPR #chainlink $LINK $KMD $WABI $MITH #NFT https://t.co/XqN8Iiia9u",1382515562585202688
angelamelini,Why would any immigrant want to live in a state with such an awful Governor like you? As a citizen I don’t even want to go near your state while you’re in charge! 🖕🏻 https://t.co/7ZILW0aXyt,1382515552657104898
cjay2301,@govkristinoem That isn’t even your damn land!! You’re the illegal immigrant. It belongs to the natives! Stop the BS! Holy shit!!!,1382515516917440518
Accented_i,"Saying ""illegal immigrant"" is problematic af ✨
Say these instead!
-Their name
-Their country of origin (if need be)
-Immigrant
If you need to emphasize someone's immigrant status WITH THEIR PERMISSION
-Undocumented immigrant/person
-DACA recipient (if true)
-Their VISA status",1382515515751555073
Mister_Metokur,"When i leave gamergate everyone thinks its based and redpilled. 
When matt leaves its a grift.
Fuck you. https://t.co/dggKb265J0",1382515513943801858
Blitzkreig1016,@EtzEchad @RealMiniAOC Hidden racism?  When are we going to stop throwing the race card all the time?  Prove that race had something to do with this one,1382515506960285696
LincolnCobretti,@jimfusillibooks @coling68 @FogCityMidge @dbongino @GeraldoRivera Agreed. Racists pull the race card. And nobody is more racist and hateful and intolerant than the left.,1382515490157965314
83_pac,"@Really_Evil_Rob @xValeGames @SW_takes There's no gymnastics. Guys like you hated the ST because too many women &amp; minorities in lead roles, and politics you misconstrue as ""SJW"" that are the same as  in the OT. So you look to the 3rd grade reading level garbage books from the mid-90's because its' dumbed down for you.",1382515479848353792
Toe_curlerr,Basically the “good immigrant” argument. Her husband has really indoctrinated her. https://t.co/bpxcr7brgh,1382515479491710976
MatarazzoPhilip,"@govkristinoem Sweetie, you’re the immigrant. The people you’re referring to are indigenous, you are not.",1382515460369965066
niggathon,@OGNiggaMason I wanna shoot some of the monkeys kind . the nigger type,1382515431341232131
julie_gier,@critter_life @TheEmployYenta @shossy2 There are numerous meat factories in SD that wouldn’t be able to@function if not for the immigrants who are willing to work there. Every immigrant factory worker I have ever taken care of was very hard working. #NoemIsADumbass #WeAreAllHuman #SDNeedsImmigrants,1382515426446426114
aorabi85,"Track where the buyers are going on #ALTCOINS with https://t.co/I6fKs4Qg0V so you can jump in before everyone else #cryptoscanner

#BTC #ETH #SNT #DGB #WRX #AVAX #RVN #DOGE #SC #ATOM #STX #LINK #YFI #VET #NEXO #BSV #SUSHI #KSM #IOST #MKR https://t.co/sAKXMeL2dQ",1382515404484988930
NegativeMeanGuy,Is nigger a verb?,1382515365134151681
KenSanDiego,"Unless you are a Native American, you are an illegal immigrant. STFU https://t.co/38kT4FgYjj",1382515364412596224
MikeBates04,Just got of the phone to me mate in NY  she just told me if your an illegal immigrant you get $15600 because your far from your own home WTF,1382515340882612232
JohnFahey11,An inspirational account of migration to America. https://t.co/CNdMFiey6R https://t.co/r8YIvPbZUM,1382515301733007364
HasaKingo,"Congressman Adriano Espaillat (@EspaillatNY) is a tireless fighter for the Upper West Side and New York City, with an inspiring immigrant story. I'm honored to have his endorsement. https://t.co/CqfmtjePy7",1382515293487042560
LondiF,@EddieRe87325498 @govkristinoem @JoeBiden she is an immigrant,1382515224687828996
Lando773,@LiahChanelle Totally opposite for me. I’ll hit that gym like it just called me a nigger. I ain’t eating no salad tho,1382515221546287105
Efu_204,"@CerysLobelia Same! And it's not OP for the sake of OP, SJW is a hero from zero! Super great!

I finished the light novel in one week! Now waiting for the manhwa so i can binge it!",1382515100695760897
AmanSin32253955,"#CivilWarinPakistan 
In minority=victim card
In majority=civil war 
They love violence
What a pissful Qom..",1382515095159250946
GreyPil16276885,@liewbob @BubblegumOut @JasonOverstreet So when are the Native Americans going to toss out the descendants of the illegal immigrant invasion of Sacred Land in South Dakota??,1382514999541735427
SaladSaiyan,"@maxwell_huhok @Cammmmmmmmmnmmm [voice actor responds to death threats in a calm and collected manner]

New Hero Hei Video: “SJW Crybaby Voice Actors from Funimation Can’t Take Criticism!”",1382514983242584066
gaybelowowned,"@drain4eva Woke, SJW",1382514976464764934
PancakesUnbound,"@Cammmmmmmmmnmmm @maxwell_huhok @SaladSaiyan Christopher says that bigotry is bad

Anime YouTube: ""Vegeta Voice Actor Pushing SJW AGENDA??!?!!?""",1382514960014655491
economics,Justin Trudeau’s government will start expediting permanent residency next month for foreign workers on the front lines of the pandemic https://t.co/4sADnIbA5l,1382514937122189313
HeadbandHendrix,Smh she tried to play the victim card man she blowin me,1382514930222530564
kdossantos,"@govkristinoem You do know you're an immigrant and colonist, right? You live on land stolen from the remaining indigenous people after they were massacred. Get a clue. And get a heart. You call yourself a Christian but those words are as empty as your heart and head.

#FakeChristian 
#GQP",1382514916737835010
mark14907,How a Burmese immigrant profited by flipping cheap oil leases from Trump auctions – Reuters https://t.co/mNTcTMT4hH,1382514856859815940
deeeesmall,not she trying to play the victim card. #Snowfallfx,1382514806637219843
AnnaSegur,@BVSDcolorado If BVSD wants to support/ensure educational equity the first step is to get rid of anti immigrant board members.,1382514760319586305
lynnhailey1,"@govkristinoem You seem nice.
https://t.co/Vaj86SXist",1382514753189380099
LoganTheHammer,"@shiba_otm Nah just weirdo k-pop stans tryna be smart, getting called out for being dumb, then blocking and playing the victim card 😂 it’s so fun",1382514742393180160
LondiF,"@govkristinoem the only thing good about SD is its indigenous pop.  

Also how are people going to grow their companies without immigrant workers? LOL",1382514646297550852
Ishirmehta2,"Warrior (2019-present) stars Andrew Koji as Ah Sahm, a chinese immigrant searching for his sister in 1800's San Francisco. Upon arrival he is immediately conscripted into a powerful Chinese Tong (gang).  As fate would have it, his sister is in league with a rival Tong...1/2",1382514637648883719
