test_tweet,actual_label,predicted_label
immigrant health care is on california senates wish list ,2,2
 as a nigerian american i can distinctly detect it in other nigerians even those born and raised here i sometimes hear myself fall into the accentspeechtone even though i generally speak with an american accent immigrant parentfamily influence,2,1
didnt know nigger had a k in it ,1,2
were going to get to the point that gamergate is considered the cause of the crimean war ,2,2
  why dont you stand with the illegal immigrant children run in by the cartels and stop the insanity and the cartels that are abusing them,2,1
 as long as youre not an illegal immigrant or a native american make sure youre white cause this racist  doesnt want you anywhere near sd,2,2
remember when liberals wanted to fight the man now theyve become the man fuck your woke bullshit fuck blm fuck the establishment fuck your politicians fuck your sjw virtue signaling weak spineless fucking cucks #woke #fuckwoke #fuckgovernment #fuckblm,1,1
people respond in really weird ways when you present androgynously in publiclike people will just start screaming at you calling you things like sjw on the bus chase you through the street speculate wildly about your real gender to strangers neither of you have met etc,2,2
 and when everyone becomes a sjw it only makes it more difficult for the ones that are trying to make a change,2,2
 annoyed trans lesbian immigrant,1,2
powerful stories build connection and community that includes  incredible stories of immigrant experiences highlighted in our most recent podcasts for power recommendations check out the full list here ,2,2
despicable subhuman i wish my ancestor would have said the same to your immigrant desease infested ancestors ,1,2
 my goodness i hope people were more welcoming to your immigrant ancestors,2,2
    i have stated elsewhere on twitter that the remain-leaning main stream media would rather talk about 1 failed business than 10 booming businesses,2,2
someone i know whos stuck awaiting a special immigrant visa 3 years now in limbo was just chatting with me about his concern for his family of the withdrawal its like a big convoy leaving for somewhere better and youre somehow all ready to go but miss to board in ,2,1
 if you have spanish language versions washtenaw interfaith coalition for immigrant rights wicir,2,2
further the districts nahed chapman new american academy on south grand boulevard will move to the larger collegiate building in anticipation of an uptick of immigrant students,2,1
as usual  plays the race card not surprising his follow-up tweet however is interesting what is he trying to say ,2,2
glad you enjoy the freedom unless youre an illegal immigrant fuck you ,1,1
 average sjw,1,2
  how do you know hes racist you dont people like you like to pull the race card out on anything these days i bet you think dr seuss is a nazi,2,1
  what is the race card,2,2
  the bill is dead in the water as long as she 1st generation citizen born to jamaican immigrant parents shelia jackson lee still has control over it #ados #lineagematters ,2,1
  gurl lookeee this immigrant and stealer of land hating on immigrants so very jesusy eh #southdakota,2,2
     nah i dont believe there is a genus with the name gamergate is basically just an ant that can breed and isnt the queen its a strange thing some sub-species only breed after the queen dies where others seek foreign males to breed with and lay eggs with their colony,2,2
 not as good as 3000 #mkr ,2,2
 matthew 25 jesus was an immigrant if you give a damn,2,2
every child has a right to live except illegal immigrant children fuck you ,1,1
 bitch your immigrant blood and heritage does not exceed 2 generations,1,1
       there was a massive influx of immigrant blacks to nyc in the 1980s and 1990s mostly caribbean later also african immigrant  within nyc black population increased from 19 to 29 from 1990 to 2000 this must matter what for whites would be called ethnicity,2,1
 2 has anyone ever seen a nighttime appointment at 9pm or later anywhere thinking of the challenging work schedules of many of my students from immigrant communities and during ramadan appointments are best after breaking fast at days end,2,2
     remainers predicted parity between the  and the  because of brexit - another fear mongering lie,2,2
 while youre doing your waiting call a few of the farmers who had to plow under their crops due to lack of immigrant workers theyll be thrilled to hear from you,2,1
lee isaac chung the oscar-nominated director of minari reflects on his depiction of the asian american immigrant experience in a conversation hosted by the asian american center and ,2,1
 ur such a nigger bro,1,2
 can trade all legit mooning cryptos and get money back eeez mdxbtc eth ada xrp dot bnb ltc link xlm doge uni atom trx xem theta grt mkr luna neo algo comp sol iota trb dia htr band dusk dock,2,2
 people say that yasuke is a sjw pandering of sengoku eraclearly they never read history,2,2
unless your an illegal immigrant or transgenderor democrat she only supports republican values and republicans ,2,1
 says the immigrant living on land stolen from first americans #gophypocrisy #fukristinoem,1,2
 its some immigrant from rio de janeiro who shot her i wont doxx him though plenty of others already have,2,2
i forgive u for calling me a nigger dont tell anybody tho ,2,2
    less than 10 of uk businesses directly import from or export to the eu,2,2
book recommendation  memoir powerfully explores her own life as a #filipino immigrant and survivor of #cancer and #childabuse #mustread #filipinoamerican #tellyourstory ,2,1
     immigrant song,2,2
 just get one of the local illegal immigrant mexicans to make you a fake one i mean they offer fake green cards so ,1,1
immigrant health care is on california senates wish list ,2,2
bc fans love playing the victim card like they not the ones always setting themselves up for the clowning of the century w unprovoked silly takes that are begging to be shot down or clowned on,1,1
the immigrant buys into the american dream it ends badly heroicallythe struggle unremembered by timegenerations ghost post-oxygenated air #amwriting #poem,2,2
where is this ignorant immigrant from he doesnt look native american ,1,1
   lol i cant believe people still think this teenage latino kid getting chased down by a registered pedophile screaming shoot me nigger and that still isnt enough to sway your opinionmaybe if the lynch mob werent chasing him he wouldnt have been forced to shoot more,1,2
shout out to all legal assistants and paralegals who work closely with undocumented immigrant children as well as attorneys its been hard on us lately but so proud of all the work we put in for them,2,2
it doesnt matter where youre from i think many people probably had similar thought and experience as a 2nd gen immigrant it makes me reflect on my action and interactions with my own parents ,2,2
 but i saw a report where they upped immigrant quotas arent they trying to get more people in more representation of people wearing turbans hijabs and whatnot,2,1
us meatpacking industry relies on immigrant workers but a labor shortage looms ,2,2
 theres no such thing as an illegal immigrantyoure asking native americans to call you or should i call you if i become a native americancray-cray white nationalists are so difficult to follow,1,1
you racist bastards accused my family of begging to come here all while playing the race card on other peopleits good to see twitter finally step up and take action against your disinformation campaigns multiple troll accounts and attacks on everyday people ,1,2
south dakota governor kristi noem needed 22 years to finish college maybe its why she doesnt understand science data virulent diseases and led sd to #1 on the #covid death charts shes anti-immigrant except thats whos powering her slaughterhouses  ,1,1
   why is everybody pulling out the race card when they are defending meg she look more white than black maybe white people should use it too you know racism goes both ways stop making everything about what colour the skin is,2,1
 this a public service announcementare you an immigrant to america if so are you an american yetif you answered yes to both questions then the governor of south dakota  wants you to give her a calloperators are standing by ,1,1
on my first day of school as a new immigrant who spoke no english my first grade teacher spoke to me in increasing volume until she started yelling at me ,2,2
 mkr because its about 14 the price it should be,2,2
  glad youre having fun did you see that the pro-fracking anti-immigrant ioue local 66 gave  100000 probably pay back for e verify and hb 732 that bill that gave shell 700 million someone has to really like you to give you 100k ,2,2
call these efforts what they are white supremacydisenfranchisement of black and brown immigrant and queer voters is the only thing that will shame white folks and donors into leaving the gopno one likes being called a white supremacist amiright   ,2,2
 stop glossing over what really happened in ur city u keep this up and 1000s more black men will die this young man only 20 was wanted 4 armed robbery due 2 dems race card propaganda this poor child ignored cops thats why hes dead this is not us justice ,2,1
blm grifters play the race card ,1,2
landscape services encompass a 93b industry built on the backs of a nearly two-thirds immigrant workforce beyond lack of acknowledgment many firms go out of their way to conceal this labor words from terremoto in  via ,2,2
if i dont reply im busy and i will block people who repeated text and text and play the victim card and actively fucking gas light and guilt trip because theyre not replied to,2,2
  he has the immigrant vote in toronto,2,2
bitch gtfoh youre an illegal immigrant  literally so ignorant and down right dumb shut the fuck up kristi  ,1,1
  arbery was shot by an ex cops son who shouted nigger whilst arbery lay dying disgusting pieces of hillbilly shit,1,1
 unless youre an immigrant then we dont want your dirty tax money and your dirty hard work,2,1
  there isnt enough housing because the banks arent funding development of lots there isnt a shortage of buyers there is a lack of adequate income taxes reduce a persons ability to acquire a home immigrant labor saturates the labor pool keeping wages low,2,1
 so much for south dakota is openunless youre an immigrant or transgender,2,2
new amsterdam has gone from a guy that ran a free clinic hired to cut thru the bureaucracy of a giant hospital to a sjw show that shits on the church,2,2
 and how helping immigrant families who knew little to no english was hard because it also meant the people helping probably spelt things wrong bc they heard it wrong,2,2
as the first african immigrant elected to the co state legislature newly sworn-in representative naquetta ricks is no stranger to breaking the glass ceiling  #denverurbanspectrum ,2,2
  diversity visa winners #dv2017-2020 denied under muslimafricanimmigrant bans shouldve been lawful permanent residents of us a new bill like the one in 1998 will help them congress needs to act#i_want_my_miracle_back #muslimban #africanban#noban ,2,2
  how is encouraging everyone of every race gender sexual orientation and gender identity doing any of the things the race card claims its used for ,2,1
incredible rescue by this agents even if is their job and they feel honor in doing it this was very risky and they still have to wait for many hours before getting out safelyheroes indeed that risked their lives to save an illegal immigrant hope she understands that ,2,1
oh hey another white christian with a bad take on religious views and their own history of being a descendant of a european immigrant ,2,1
    immigrant song,2,2
so #conservativekidscartoons is trending lets reverse it shall we#liberalkidscartoonssjw squad ,2,2
  poor you black americans commit violent crimes against every other race at a much higher rate than those races commit violent crimes against black americans your victim card has been rejected,1,1
 with all due respect this is a fractious area for me my folks campaigned for minority civil rights for decades but im also persuaded they filled the spiritual void in their life with sjw activism after dropping out of church,2,1
 nigger  sue me  ,1,2
fuck facebook cant say shit on that damn social site but white people can say nigger thats crazy,2,2
 aww hunny bunch did you forget that youre an immigrant in your own state,2,2
only in trinidad does sjw mean pretty much the opposite of what it means elsewhere,2,2
 no words,2,2
 the difference between an immigrant and illegal alien are stark im all for legal immigration but not for a surge of migrants who break into the country and bypass those that come legally what about covid oh that suddenly isnt a concern if its a migrant so f transparent,2,1
hey queen lecommi china james    woke popovich marxist  of china all you woke jokes where you at sjws  bunch of fake woke joke devils ,1,2
in addition if you really want to take time to talk abt this how do you like your fermented cabbage,2,2
 imagine being this proud of being a bigoted bitch gross but have no fear sis nobody wants to live in your shitty state - immigrant or otherwise,2,1
thank you  for supporting legislation to expand husky coverage to undocumented individuals in the state of ct you have my physician support #senatormoorerocks #husky4immigrants #healthcare4all #medtwitter ,2,1
grateful to have been able to speak to  for this incredibly important and well-reported story uber uses the same tactics in south africa and the us - recruit from vulnerable immigrant communities and shift financial and physical risk on to drivers ,2,2
 my grandmother immigrated to the us as an 11 year old from southern poland she was an unaccompanied minor and using your definition an illegal immigrant but im certain she represented american values more on her worst day than you do on your best day shameful,2,1
 heres my problem with desantis i grew up in florida from elementary to collegefloridas now the illegal immigrant dumping ground capitol of the us on my way to disney visiting i stopped for directions people only spoke spanish desantis does zero and will do same as potus,2,2
 this is beyond ironic considering that youre an immigrant in your own state,2,2
hey gov youre an immigrant to sd please leave ,2,2
a bitch like me love getting my neck sucked licked and bit hickey me up nigger,1,1
must see smart high school student absolutely destroys sjw teacher ,2,1
father of two killed in wrong way crash illegal alien charged with drunk driving and felony death by vehicle via  ,2,2
sorry but if you want equality then women have to stop playing the victim card and recognise that women are perfectly capable of doing the things that men do and vice versa,2,1
   native americans and blacks contributed the most other immigrant groups contributed as well but they kind of reaped the benefits of america,2,1
despite guidelines not requiring a government issued-id to get a shot a woman says she was denied a covid-19 vaccine from a philly walgreens because she is an undocumented immigrant and only had a mexican passport her son spoke with  ,2,1
inchif the yellow line breaks an uptrend begins if it is not broken it continues horizontallytp1 618tp2 639btc eth ada xrp dot bnb ltc link xlm doge uni atom trx xem theta grt mkr luna neo algo comp sol iota trb dia htr band dusk dock ,2,2
 unless youre an immigrant youre a disgrace,2,2
#repost  scholarship for undocumented immigrants is due on may 14 apply apply apply apply #education #undocumented #immigrant #immigration #cuny #school #scholarships ,2,2
america is some other level of fucked up man i dont understand that country at allim glad ill always be an illegal immigrant to it,2,1
