test_tweet,actual_label,predicted_label
so drasko just said he was impressed the girls cooked half a chicken they cooked a whole one #mkr        ,1,2
 your prophet was a rapist murderer pedophile caravan robber slave trader bigot and sexist god would never use the scum      ,1,1
 rofl no one with a brain will want a madrassa education will they teach mohammeds remedies          ,1,1
 he is following the example of his prophet who married one of his wives at 6 they do everything their prophet does exactly #isam  ,1,1
  furthermore islam demands that women be locked in their homes and covered stop lying           ,1,1
 its not about who was not murdered by him its about who was             ,1,1
 #islam is about forcing people to be muslims even your perverted imams know it            ,1,1
muslims claim that there is no in #islam but like everything else they claim it is a lie        ,1,2
   but the fact that islam is a declaration of war means that islam will always produce terrorists       ,1,1
    islam attacked and conquered 43134 of christianity before there were any crusades           ,1,1
   but congratulations you do get to put an x on the bullshit bing card          ,1,2
   and for people who are not people of the book you guarantee them death or slavery        ,1,2
     unseated the muslims in power now the muslims are not in power either         ,1,1
  same goes for the term islamophobia it makes as much sense as naziphobia            ,1,1
  islam is 1000 years of contributing nothing to mankind but murder and hatred            ,1,1
  43103 of all muslims believe that people who want to leave the religion should be murdered         ,1,1
  islam is worse than the nazi party ever was                ,1,1
  it worked out perfectly when the muslims invaded europe in 8th cent only military defeat stopped them        ,1,1
 you have no say on what freedom of expression extends to everyone should be insulting the phony pedophile prophet       ,1,1
 the nuns are wearing the chosen robs of the clergy not what every woman is required to wear by the sexist religion    ,1,1
 islam is full of incitements to murder unbelievers what are you talking about             ,1,1
 mohammed led 17 major military expeditions most offensive he raped robbed murdered lied slaved and was a pedophile        ,1,1
 did your prophet murder apostates - yes did your prophet rob caravans and commit genocide - yes         ,1,1
   can we kill for don and does he give us a bunch of virgins in heaven for doing it     ,1,2
   i read the quran it is a hate mongering piece of filth            ,1,1
 it is the muslims that dont follow the quran and hadiths that are peaceful those who follow it are always violent #islam    ,1,1
rt  suicide bombing by 10-year-old girl@ nigeria kills10  blowing up a 10 yr old girl-inspired by islam        ,1,2
rt  please draw mohammed just a smiley face will do but draw it and post it #iamcharliehebdo         ,1,1
  #islam is radical islam we keep pretending they are different to avoid confronting the problem          ,1,1
  do the trolls at salon know that mohammed led 17 major military expedition most of them offensive no chance #islam     ,1,1
 if quran and hadith are full of hatred and murder and if muslims support sharia then the problem is islam and screw leftists   ,1,1
    and that doesnt count common crime in muslim states              ,1,2
 you can preach coexistence all you want to islamist you are just a useful idiot           ,1,2
    and what is the conspiracy islam states clearly that they want to murder          ,1,1
  most people who become muslims are either forced or pressured into it and the children have no choice       ,1,1
 and all the hatred was started by your pedophile prophet now you are finally getting it back         ,1,1
 its not what i think its what i have already proven to you multiple times           ,1,2
 if you are just going to sit there and tell lie after lie muslim taquiyya this discussion is over you are blocked    ,1,2
rt  some people work very hard to make this world a better place while others work very hard to book a drink and sex party in t,1,1
 the jews are the population that has been ethnically cleansed by the muslims microbrain find me some jews in saudi      ,1,1
  more left wing scum caving in to the violence of islam              ,1,2
   so you think you can hate all people of a certain ideaology - but not if its islam      ,1,2
   and there is no jihad and world domination in judaism as there is in islam         ,1,1
 islam declared war on all humanity 1400 years ago its time we recognize that and respond          ,1,1
 next step learning to ride a bicycle and then learning to ride a camel            ,1,2
rt  islamic state members say theyre following islam while non-muslims who dont even read up on religion insist theyre not      ,1,1
 actually islam is a fraudulent religion that was made up long after it was supposedly founded          ,1,1
  the prophet mohammed used catapults on cities killing women and children so you just called him a coward       ,1,2
 the cancer of islam pushes even babies to begin thinking about murdering their fellow human beings          ,1,1
 you cant even imagine how i think because i cannot imagine how anyone would take such a vile religion as islam     ,1,1
 you are right the violent murdering muslims are the only ones who understand the meaning of their religion        ,1,1
 nope with #democracy man makes all the laws by vote with #islam allah makes all the laws by the sword the two cannot coexist  ,1,1
   that is why we are going secular microbrain and islam is as disgusting as ever         ,1,1
    proof mohammed was a pedophile                  ,1,1
     as tiny as israel is the muslims want it exterminated            ,1,1
     raping children is what mohammed did                ,1,1
 islamic documentation is based on belief historical documentation is based of factual research             ,1,1
 earthly tyrants want to be feared because for them fear is control and obedience the writer of the quran was unsophisticated     ,1,1
    he didnt discuss their wealth he discussed islams barbarity              ,1,2
    because of muslim hatred there will soon be no jews christians yezidis in me         ,1,2
  that whole lions of islam thing is like some kind of red neck comedy             ,1,1
  the treatment of christians was nearly as bad and people not of the book were murdered outright        ,1,2
 colonizing and raping is how the muslim world got to be the size it is the first crusades were muslims invading europe    ,1,1
 you sound like an islamolunatic                     ,1,1
 religion is a factor isis kills sunnis for disobedience they kill religious minorities just for being non sunni muslims       ,1,1
   again proving how muslims are liars the muslim students of usc have a hadith database         ,1,1
 do you approve of your prophet raping children                  ,1,2
 furthermore all the hadiths about aishas age are classified as sahih - meaning sound            ,1,2
  this is political opinion the truth is that islam is itself radical and we must outlaw it        ,1,1
   right every pres in history has been heavily criticized but doing it to obama has to be racist      ,1,2
 but the truth is that mohammed followers were worthless starving thugs that produced nothing and so wanted the riches of khybar     ,1,1
  for example the quran says leaving islam is not accepted the hadiths say kill anyone who leaves        ,1,1
islam is simply an excuse to rape murder loot practice bigotryand hatred the prophet mohamed designed it to get thugs to follow   ,1,1
  mohammed was a slave trader who owned 28 slaves                ,1,1
  another one of those filthy lies muslims love to tell this is the truth           ,1,1
  blacks have murdered far more whites than the reverse your one sided presentation shows you are a racist       ,1,2
rt  by time of crusades muslims had already captured two-thirds of the christian world -           ,1,1
  yes only islam can generate that level of barbarity hatred and inhumanity             ,1,1
   i dont see how that is relevant to how non muslims were treated as third class citizens       ,1,2
   now try to get an education before you repeat the lies and stupidity you get from your imam      ,1,1
   if you want to ignore the mountain of data that shows islam to be a pile of crap thats your prob   ,1,2
watching shia militia beat a peshmerga to death i thought praying to allah 5 times a day certainly peaks the level of fanatical hatred                ,1,1
   your prophet moohammed killed children when he used catapults to attack cities so why are you complaining       ,1,1
rt  now lets be clear its not the minority within islam that believes in violence against blasphemers its the majorit      ,1,1
 yeah they could use camels for transport abuse and rape women own slaves grovel to a terrorist god pay jizya what fun    ,1,1
    which is why he gave himself as many wives as he wanted to satisfy his prick       ,1,2
    you only have to count the corpses to see that islamic extremism is widespreadjewish not        ,1,2
    muslims murdered 120 million africans                  ,1,1
rt     there angry over cartoons but not beheadings people being burnt alive or          ,1,2
rt  #muslim #islam welcome to the hotel islamfornia may check out any time but never leave          ,1,2
rt  #isis has begun recruiting moroccan prostitutes for its militants in syria and #iran luring them with promises of money      ,1,2
 entire unarmed innocent ezidi families were slaughtered and enslaved by isis so shut up hypocrite           ,1,2
rt  #egypt court to hear case to designate #turkey a state sponsor of terror            ,1,2
   but certainly exterminate all terrorist and jihadi groups                ,1,1
 thats a complete lie they murdered 3000 unarmed ezidi civilians who had done nothing to them and enslaved their women      ,1,2
  the follower of the pedophile prophet tries to be funny but the world will outlaw islam soon        ,1,1
rt  islamic immigration is already leading to violent intimidation #auspol                ,1,1
    exactly isis follows the quran and hadiths to the letter             ,1,1
    if you are a muslim and if you have actually read the quran then you have to be a total liar  ,1,1
 what are you talking about provocation islam declared war with the world that is more than enough provocation        ,1,2
 furthermore the muslims were the last to give up slavery and many only did it under pressure from the west      ,1,2
 islam is the most genocidal religion on the planet mankind must exterminate islam or be exterminated by it        ,1,1
 thats idiotic not holding a sick terrorist god sacred is far from not holding anything sacred          ,1,2
rt  islamic states reveals its air force  lol daesh bags isis isil             ,1,2
   so lets get it over with the world needs to declare war on islam and get rid of the cancer    ,1,2
   the muslims think that lying is the greatest of all virtues after genocide           ,1,1
 stupid comment that was illegal for us soldiers and they were punnished for muslims their organizations make murderers heroes       ,1,1
   im talking total extermination bragged about right there in the book             ,1,2
   child abuse is illegal in western culture it is accepted in islamic cultures because their prophet        ,1,1
 the point is about what the society supports and what it does not support barbarity is not an aberration in muslim society    ,1,2
 because more slavery exists in the islamic world than anywhere else and i am very much against n korea       ,1,1
 one of the first thing the prophet mohammed did in his islamic quest was to start murdering jews it has never really stopped   ,1,1
 erdogan is a fascist islamist scum bag womens employment has decreased 03 under him violence against women has increased       ,1,1
  anything an american does defines america anything a muslim does is an aberration idiot           ,1,1
   again why shouldnt everybody hate islam                  ,1,1
  given that islam declared war on all humanity 1400 years ago why should we not burn down all mosques      ,1,1
 if you want to understand isis understand islam they are exactly the same             ,1,1
saudi cleric sun revolves around the earth now you can understand why madrassa graduates have no skill but jihad #islam #science          ,1,1
   all this means is that muslims endlessly try to hide the barbarity of their religion         ,1,1
   thats when a 53 year old man marries a 6 year old girl and screws her when she is 9 like mohammed  ,1,1
    they are always hot air but sometimes their hot air aligns with their prophets         ,1,1
  and the hadiths are even more specific about approving sexual slavery              ,1,1
muslims raise their children on hate                     ,1,1
 this man is a fraud trying to convince westerners that the religion of hatred murderbigotry andis something different      ,1,1
 are you so stupid your prophet explicitly stated his sexism                ,1,1
rt  a turkish nationalist  islamist says well done to hitler for his genocide of jews during ww2 -2010 #twitterkurds       ,1,1
 karen armstrong is a liar that tries to whitewash the inherent violence hatred and bigotry of islam and its prophet      ,1,1
 saying that islam is a way of life means that islam actually tells you which hand to use to wipe your ass    ,1,1
 in 1400 years islam has never produced anything other than tyrants and the world is obligated to deal with them      ,1,1
 by showing your love of a genocidal animal like baghdadi you have given the reason why islam must be exterminated      ,1,2
 of course the old leach mohammed gave himself permission to screw pretty much whatever he liked          ,1,1
rt    its a calculated arab policy to keep the palestinians in a state of desperation to incite more      ,1,2
   my suggestion would be that the kuffar bomb the kabba              ,1,2
 in the meantime the terrorists who want to destroy israel have murdered hundreds of thousands and scum like you excuse them     ,1,1
 i know that they have the same policy of breeding like rats and population imperialism as their prophet mohammed       ,1,1
 fighting along side anyone in the me makes you someone elses enemy regardless of the motivation their problem not ours      ,1,2
 islamophobia - fear of this                     ,1,1
 you are a liar islam murdered 120 million black africans                ,1,1
 the majority of muslims have already shown themselves to be radical in polls             ,1,1
  this would be another good example of terrorism control through fear violence brutality            ,1,1
 wrong islam didnt give women any rights and it imprisoned them in their houses remember katjia was wealthy before islam      ,1,1
isis or shia militia - both use islam as their organizing principle regardless of who wins the outcome will be an evil regime #tikrit   ,1,1
  every muslim state is a nasty place if you are not a muslim            ,1,1
      all the jewschristians and gays would be dead women enslaved           ,1,2
 there are 15 billion muslims idiot for the size of their population they contribute virtually nothing          ,1,1
rt  #islam dominates our crime prison and welfare system and national security why are we still importing it  #amag      ,1,1
   their current behavior now is not to end up being ruled and under the power of muslims again      ,1,2
   mohammed told muslims to take over all of the arabian penninsula from jews and christians         ,1,1
 he only meant knowledge of his fraudulent religion mohammed was an illiterate who didnt know squat          ,1,1
 isis follows the quran and hadiths exactly they follow the sunnah exactly the evil is in the quran and hadiths      ,1,1
   your religion is a murderous pile of filth                ,1,1
 islam teaches exactly what isis practices                    ,1,1
  here is the quran telling women not to leave their house              ,1,2
 this is propaganda the shia militia are religious fanatics and fascists just like isis - only slightly less extreme       ,1,1
   your prophet never said that and countries like pakistan have a 09 domestic violence rate         ,1,1
 my 0279166667 says that you can replace the testimony of one man with that of two women         ,1,2
 no it doesnt islam is grossly sexist it is a misery for women             ,1,1
  the problem is that i have far more knowledge of islam than you and it is your mind that has been shrunken by islam ,1,2
    and you are supporting the little head choppers and honor killers in palestine          ,1,1
  no that was just your pedophile prophet making excuses to slaughter them and steal their land and property       ,1,1
     i know you cant go on a date with any man you want         ,1,2
   blumenthals silence on the muslim jihad against humanity and its cost             ,1,1
     half of saudi women are beaten at home because the quran permits it         ,1,1
 the prophet mohammed beheaded 600 jews for not being loyal to him and all the muslims love mohammed so whats the problem    ,1,1
    hey shouldnt you be worrying more about pakistan muslims murdering christians and hindus          ,1,1
  but why propagandize your bigotry when pakistani muslims are murdering christians and hindus for blasphemy          ,1,1
rt  how unsurprising hatemongers  and  promote holocaust denier -  ht             ,1,2
 your pedophile prophet made it exceedingly clear what his intentions were for jews and christians           ,1,1
 and the lying muslims claimed that all of their attacks were only done because they were preemptive         ,1,2
  do you think that he is jewish any other way than by birth            ,1,2
 muslims want to be able to abuse other while at the same time pretending to be victims         ,1,1
   israel has to fight not to become a victim of people like this  #islam         ,1,2
 51 christians or hindus have been murdered for blasphemy by muslim mobs in pakistan alone why should israel be subject to that    ,1,1
 i already read the entire quran it is a piece of filth hatred violence sexism and bigotry         ,1,1
 to win a modern war you have to have educated people not madrassa rats            ,1,2
   no the murdering hamaz head choppers torture children in dungeons              ,1,2
 and i dont care if the jews do what the have to do to protect themselves from the genocidal muslims      ,1,2
 true and the outcome has to be bad when either group of islamolunatics wins            ,1,1
   outside the israel conflict hamas still beheads gays does honor killings throws opponents off roofs         ,1,1
  i dont see any burning civilians and the picture is not even of a burning house         ,1,2
  mohammed was a head chopper who beheaded 600 jewish men in one day both isis and hamas love beheading people     ,1,1
  the religion of islam is built on apartheid and ethnic cleansing              ,1,1
   actually i dont think it is possible to distinguish between islam and nazism           ,1,1
 after chasing them all out of medina he went to the jewish oasis of khybar and slaughtered most of the jews there    ,1,2
 hell palestinian muslim assholes like this clearly state their intentions of religious jihad against jews and you tell them that      ,1,1
   the abuse that christians who are stuck living with violent muslims endure            ,1,1
 wrong again it is the muslims murdering the hindus in india kashmir bangladesh and pakistan           ,1,1
  has blumenthal ever written about all the pakistani hindus and christians murdered by muslims           ,1,1
 mosque that is still standing typical muslim terrorist asshole                 ,1,1
   santa just is white                    ,1,2
rt  lets get it straight in islam there is radical and there is moderate   #thisisislam         ,1,1
rt  bet3 race pimps enjoyed watching #ferguson protesters being interviewed on  show as much as i did        ,1,2
i think theyre deconstraucted pro    mowhores #mkr                ,1,2
#mkr deconstructed by girls that have deconstructed brains  nearly brought up my dinner when i saw that crap on the plate    ,1,2
actually nikki really is quite good looking wait till my shots hit the newstand #mkr #photography #fashion         ,1,2
just read the #killerblondes get through switching off #mkr                 ,1,2
just me or hot blondes on #mkr not at all hot just average             ,1,1
#mkr maybe you girls should go back to cutting up cows and pigs dont quit your day job        ,1,2
these girls are prettyawful #gohome #mkr                    ,1,2
if only this sasquatch had wings to help these girls fly out of the whole theyve dug for themselves #mkr      ,1,2
shutup about the sass and read some cookery books you twit #mkr              ,1,2
gay fiancé is not going to cope being away from the fresh meat #mkr            ,1,2
rt  kim kardashian has had marriages that didnt stretch as long as #mkr            ,1,2
i dont think i can sit through any more of those blonde slags this might be me breaking up with you #mkr    ,1,1
#mkr do the blondes keep pronouncing porno models incorrectly  actually thats harsh sorry to all the ladies in the porn biz     ,1,1
sassy gurls you aint sassy more like bitchy #mkr                 ,1,1
were not just the dumb blondes with the pretty faces youre certainly not the second part anyway #mkr                 ,1,1
#mkr #killerblondes the only way these girls are staying is if they blow every bloke in the room so theyre still in with a shot ,1,1
#killerblondes  have the producers lost the plot or have my eyes failed in what universe are they even remotely hot in #mkr   ,1,1
rt  nice arm pit vagina #mkr                   ,1,1
refined and pretty looks like something a blind kindergarten student chucked on a plate #mkr           ,1,2
these two blondes are not skinny enough to be models #mkr               ,1,1
oh my lord #blondemomentforthe #killerblondes  #mkr                   ,1,2
what a dumb bitch #mkr                     ,1,1
were being punked right theyve actually never been in a kitchen before except to microwave their veet #mkr #killerblondes       ,1,1
i scream what a dumb cunt at the contestants on #mkr way too much for someone who just over-salted a cucumber        ,1,2
better try harder blondes #mkr                     ,1,2
already sick of hearing pretty #mkr #mkr2015                   ,1,2
tonights #mkr confirms the casting people trawl the dark depths of the seriously delusional the supremely misguided and plain rotten cooks     ,1,2
oh look get the vacuum theres crumbs on that plate that need sucking up hey promo girls thats part of your job description #mkr  ,1,2
of course they keep the girls hat cause drama could see that coming a mile off #mkr         ,1,2
how do you sleep at night kat you cunt #mkr #mkr2015               ,1,2
fuck off kat douchebag #mkr #bitchy                    ,1,1
i swear to fuckin god kat and andre are the worst ever contestants kat is such a little bitch a is so unfair #mkr  1,1,1
kat you are a fucking cunt rash a deadset fucking thundercunt rash #mkr             ,1,1
annie is really excited about eating the carrots cause they match her hair purfectly #ginga #mkr          ,1,2
rt  if #cuntandandre make it through ill i dont know what i will do #mkr          ,1,1
kind of want to jump through my tv and punch kat in the face hope other contestants vote strategically for her now #bitch #mkr  ,1,1
i cant believe kat is still in this competition no no no #mkr             ,1,2
#mkr #katisawanker                        ,1,2
fuck off now we still have to watch the wicked witch and her dumb ass husband on our tvs kill me now #mkr   ,1,1
the other teams knew kat would vote strategically why wouldnt they score higher to get rid of kandre #mkr #cunce #katisadog #katisdirt    ,1,2
#mkr girls thank you for filling the slapper quotient on this years serieswe no longer have a need for bitchy blondes au revoir   ,1,1
#mkr if cunt and arsehole remain you are a bunch of rigged cunts #fuckoff #shitcooks #cantcook #katandandre         ,1,2
rt  that face kat just pulled was hideous #mkr                ,1,1
#mkr awe never mind - there is always that illustrious victorias secret modelling career nikkioh you model for target my bad     ,1,1
the blonde bitches are goneyet satan remains #mkr                  ,1,1
kat is actually a bitch but i had to laugh at her response #mkr            ,1,1
kat and andre-you need to go kat is disgusting and her personality is black #mkr #bitch          ,1,1
bitch #kat #mkr                       ,1,1
kat is one of those rare pieces of trash that get even uglier when she smiles #mkr         ,1,1
#mkr kat the wicked witch from the west                  ,1,2
im nervous for annie kat is gonna tear her a new arsehole if she stays on the show #mkr       ,1,1
kat is an awful human being #mkr                   ,1,1
#mkr is it ok if i hit kat cause that was not cool             ,1,2
if i went to get breakfast and i was served by kat i would walk away #mkr         ,1,2
i feel like im watching  in 3d when kat is on - eyes poppin out her head like a pug #mkr #katandandre   ,1,2
#mkr was out shopping so i just caught up on the ep does anyone think bobble head when they see lloyd kat- still a cuntstill cant cook,1,1
eat your words kat dont choke on them niw  hahaha gotta love karma #mkr           ,1,2
